variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
565744	Rhizosphere	Day_After_Germination	0.006632498891034732	5.828606808393976e-4	11.3792182404259	1.1895126690564262e-21	6.423368412904701e-20	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
367606	Rhizosphere	Day_After_Germination	7.304375063935561e-4	0.001168591713136544	0.6250579207283906	0.5329505109201478	1	Increasing	Neutral	Bacteria	Acidobacteria	[Chloracidobacteria]	11-24	unclassified	unclassified	unclassified	Acidobacteria
339660	Rhizosphere	Day_After_Germination	0.011551646205284047	0.001177592924680535	9.8095411098176	1.3021367222967757e-17	7.031538300402588e-16	Increasing	Increasing	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	unclassified	unclassified	Gammaproteobacteria
307872	Rhizosphere	Day_After_Germination	0.006293418817665441	5.73316303502186e-4	10.977219345100039	1.3017422894923753e-20	7.029408363258827e-19	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	[Entotheonellales]	unclassified	unclassified	unclassified	Deltaproteobacteria
267968	Rhizosphere	Day_After_Germination	0.004789873051917144	3.990211577694973e-4	12.004057826638135	2.876318292172896e-23	1.5532118777733637e-21	Increasing	Increasing	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Bacteroidetes
261776	Rhizosphere	Day_After_Germination	0.0036696555234666307	5.472740163852118e-4	6.705334829716557	4.564888275572381e-10	2.4650396688090857e-8	Increasing	Increasing	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Bacteroidetes
234790	Rhizosphere	Day_After_Germination	0.020251590331113664	0.0012606750943368178	16.064083777086974	1.4240817466629688e-33	7.690041431980032e-32	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	mexicanus	Deltaproteobacteria
234236	Rhizosphere	Day_After_Germination	0.016028195934028582	0.0013250300830476064	12.096477007648975	1.658942668386487e-23	8.95829040928703e-22	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
144821	Rhizosphere	Day_After_Germination	0.02198529539283722	0.001501673402521805	14.64053059467968	5.0627983984434325e-30	2.7339111351594536e-28	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
141786	Rhizosphere	Day_After_Germination	-0.00673039850231625	5.268244518276281e-4	-12.77541025092429	2.9296632937730177e-25	1.5820181786374296e-23	Decreasing	Decreasing	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter	unclassified	Bacteroidetes
104164	Rhizosphere	Day_After_Germination	-0.0038234912964573765	4.125187970037149e-4	-9.268647451289219	3.0688263605362436e-16	1.6571662346895717e-14	Decreasing	Decreasing	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	unclassified	Verrucomicrobia
6955	Rhizosphere	Day_After_Germination	-0.013693383748137666	0.0016306168662536071	-8.397670864032358	4.550029763540346e-14	2.4570160723117867e-12	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
816501	Rhizosphere	Day_After_Germination	0.010145669585303357	9.356795103886004e-4	10.843103298360912	2.889212346605863e-20	1.560174667167166e-18	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
1128107	Rhizosphere	Day_After_Germination	0.006986350385537247	7.571042800868581e-4	9.227725386436521	3.891815901331304e-16	2.101580586718904e-14	Increasing	Increasing	Bacteria	WS3	PRR-12	Sediment-1	unclassified	unclassified	unclassified	WS3
